tstep_number|time|error_1|error_2
0|0.0|0.0|0.7254762501100117
1|0.003|0.0003444633493545321|0.704655113108834
2|0.006|0.0006689909776232183|0.6844315418390723
3|0.009|0.0009744482349789594|0.6647883861900794
4|0.012|0.0012616670821618836|0.6457089882586428
5|0.015|0.0015314472983134438|0.6271771682226508
6|0.018|0.0017845576468643325|0.6091772106201873
7|0.021|0.002021737000893591|0.591693851022413
8|0.024|0.002243695429327943|0.5747122630889364
9|0.027|0.002451115245304653|0.5582180459946937
10|0.03|0.0026446520179792318|0.542197212217678
11|0.033|0.0028249355490150133|0.5266361756771588
12|0.036|0.0029925708149526|0.5115217402123347
13|0.039|0.003148138876614372|0.4968410883916488
14|0.042|0.003292197756664789|0.482581770643276
15|0.045|0.003425283286406191|0.46873169469756315
16|0.048|0.0035479099228581225|0.4552791153324741
17|0.051|0.0036605715371277672|0.44221262441333664
18|0.054|0.00376374217505231|0.4295211412184503
19|0.057|0.003857876791054916|0.41719390304234827
20|0.06|0.003943411956130046|0.405220456068745
21|0.063|0.004020766540839038|0.39359064650543046
22|0.066|0.004090342374170624|0.3822946119735916
23|0.069|0.004152524879091047|0.37132277314426093
24|0.072|0.004207683685580304|0.3606658256147981
25|0.075|0.004256173221927257|0.3503147320185159
26|0.078|0.004298333285026171|0.34026071436076033
27|0.081|0.004334489590396958|0.3304952465749443
28|0.084|0.004364954302623919|0.3210100472922228
29|0.087|0.004390026546885925|0.3117970728186789
30|0.09|0.004409992902228739|0.30284851031406296
31|0.093|0.004425127877206821|0.2941567711663025
32|0.096|0.004435694368502878|0.2857144845561634
33|0.099|0.0044419441031121176|0.2775144912066049
34|0.102|0.004444118064657103|0.2695498373115275
35|0.105|0.004442446904383221|0.26181376863876604
36|0.108|0.004437151337362874|0.25429972480232665
37|0.111|0.004428442524420859|0.24700133369900923
38|0.114|0.004416522440276304|0.23991240610470022
39|0.117|0.004401584228377741|0.23302693042575048
40|0.12|0.004383812542894228|0.22633906760098862
41|0.123|0.004363383878307693|0.21984314615004608
42|0.126|0.004340466887039953|0.2135336573637957
43|0.129|0.004315222685527435|0.2074052506328243
44|0.132|0.004287805149149512|0.20145272890997706
45|0.135|0.0042583611963975775|0.19567104430312784
46|0.138|0.004227031062660812|0.19005529379443634
47|0.141|0.004193948563991918|0.18460071508246204
48|0.144|0.004159241351203371|0.17930268254360981
49|0.147|0.004123031154632818|0.17415670330948183
50|0.15|0.00408543401990497|0.16915841345680874
51|0.153|0.004046560535006346|0.16430357430673043
52|0.156|0.004006516048977828|0.1595880688302867
53|0.159|0.0039654008825201785|0.15500789815707047
54|0.162|0.003923310530797645|0.15055917818408232
55|0.165|0.003880335858714649|0.14623813628191104
56|0.168|0.0038365632889309983|0.14204110809544623
57|0.171|0.0037920749828733594|0.13796453443641066
58|0.174|0.003746949014989928|0.13400495826507688
59|0.177|0.003701259540488178|0.1301590217586079
60|0.18|0.0036550769567871132|0.1264234634635373
61|0.183|0.003608468058906585|0.12279511552997156
62|0.186|0.00356149618901084|0.11927090102517249
63|0.189|0.0035142213803128664|0.1158478313242382
64|0.192|0.003466700495541846|0.1125230035756723
65|0.195|0.003418987360167301|0.10929359823969086
66|0.198|0.003371132890567662|0.10615687669717973
67|0.201|0.003323185217324227|0.10311017892727489
68|0.204|0.0032751898038154213|0.10015092125159608
69|0.207|0.0032271895602800334|0.09727659414322085
70|0.21|0.0031792249535121876|0.09448476009854077
71|0.213|0.0031313341123458192|0.09177305157019569
72|0.216|0.003083552929079916|0.0891391689593322
73|0.219|0.003035915156991613|0.08658087866548461
74|0.222|0.0029884525040783315|0.08409601119242398
75|0.225|0.0029411947231654727|0.08168245930836915
76|0.228|0.00289416969851228|0.07933817625900015
